engine_capacity_cc,fuel_category,owner_count,car_brand,transmission_type,exterior_color,fuel_efficiency_kmpl
5000,Diesel,2,Kia,Automatic,Gray,14.96562584
1200,Petrol,5,Volkswagen,Automatic,Silver,13.47015674
1000,Diesel,1,Ford,Manual,Black,13.10615458
3000,Diesel,4,BMW,Manual,Gray,16.42932877
1800,Electric,1,Tesla,Automatic,Black,16.39445484
1200,Electric,3,Toyota,Automatic,Gray,17.86172718
3000,Diesel,2,BMW,Manual,Blue,17.70803152
1000,Electric,1,BMW,Manual,Blue,15.25731594
1500,Electric,1,Honda,Automatic,Red,18.5480701
4000,Electric,2,Toyota,Automatic,Blue,12.25968079
3000,Diesel,1,Volkswagen,Automatic,Silver,20.06220553
3000,Diesel,3,Hyundai,Manual,Gray,24.40284179
1800,Petrol,4,Hyundai,Manual,Silver,22.33724242
4000,Petrol,3,Hyundai,Manual,Silver,16.95544005
5000,Petrol,2,Nissan,Automatic,Black,11.64088442
1000,Petrol,1,Tesla,Manual,Gray,20.13404078
2500,Electric,3,Nissan,Automatic,Red,17.37464181
1500,Petrol,5,Honda,Manual,Gray,15.43944785
5000,Diesel,2,Toyota,Manual,Red,6.221544917
1200,Electric,3,BMW,Automatic,White,25.75508377
3000,Electric,5,Volkswagen,Automatic,Black,25.56797557
5000,Diesel,5,Ford,Manual,Blue,13.58477657
3000,Diesel,5,Nissan,Manual,Silver,9.881379714
1500,Diesel,2,Kia,Manual,Black,12.38651084
800,Electric,4,Chevrolet,Manual,Gray,18.20693807
2000,Petrol,4,Toyota,Automatic,Black,17.80774184
1000,Petrol,1,Chevrolet,Manual,Red,18.95530637
5000,Petrol,1,Tesla,Automatic,Blue,17.52964766
800,Electric,1,Toyota,Automatic,White,17.32930697
1000,Diesel,5,Volkswagen,Manual,White,22.26734445
1200,Petrol,3,BMW,Automatic,Blue,18.01789348
4000,Electric,3,Chevrolet,Manual,Gray,17.35831463
1800,Diesel,2,Volkswagen,Automatic,Gray,15.01311904
4000,Petrol,4,Kia,Automatic,Silver,12.70981032
4000,Diesel,2,Nissan,Manual,Black,13.01272871
1200,Diesel,3,Ford,Manual,White,28.96208666
1000,Diesel,2,Nissan,Automatic,Silver,20.84704576
3000,Electric,2,Tesla,Automatic,Silver,16.72437711
3000,Electric,5,Honda,Manual,Black,14.84596213
3000,Petrol,4,Ford,Automatic,Red,22.93516575
3000,Electric,4,Toyota,Manual,White,25.27519535
1500,Diesel,4,Nissan,Automatic,Black,21.07882405
5000,Electric,3,Chevrolet,Manual,Black,13.30038393
2500,Petrol,4,Chevrolet,Manual,Blue,8.180301479
1000,Diesel,1,Hyundai,Automatic,Gray,17.63316545
1800,Diesel,5,Nissan,Automatic,Gray,16.97255526
1000,Diesel,5,Tesla,Automatic,Silver,14.76642242
1200,Electric,2,Chevrolet,Manual,Gray,16.94586397
4000,Diesel,5,Chevrolet,Manual,Silver,10.82646545
4000,Petrol,4,Volkswagen,Manual,Black,19.15613852
4000,Diesel,5,Nissan,Automatic,Blue,20.20286751
3000,Electric,4,Hyundai,Automatic,Blue,25.65469815
4000,Petrol,5,Chevrolet,Manual,Silver,21.01346371
1200,Electric,3,BMW,Manual,Blue,14.15453179
3000,Diesel,2,Tesla,Manual,Black,14.87020071
1000,Electric,4,Nissan,Automatic,Silver,23.93745938
5000,Petrol,3,BMW,Manual,Red,18.78231148
1200,Diesel,5,Hyundai,Manual,Black,12.47892373
1000,Diesel,4,Tesla,Automatic,Silver,15.90636318
1800,Electric,2,Volkswagen,Automatic,Black,21.08313871
800,Diesel,3,Kia,Manual,White,27.21138604
2000,Petrol,3,Tesla,Manual,Red,20.44535254
2000,Petrol,2,Tesla,Manual,Gray,15.17545735
1800,Electric,3,Honda,Manual,Gray,12.8345391
1500,Electric,2,Toyota,Manual,White,16.6953698
800,Electric,2,Nissan,Manual,Gray,16.37871572
1200,Electric,4,Honda,Manual,Blue,14.16403975
2500,Petrol,5,Nissan,Manual,Red,21.87088724
1800,Diesel,5,Tesla,Manual,Black,9.238654345
3000,Petrol,2,Chevrolet,Manual,Gray,20.52518557
1000,Diesel,5,Tesla,Automatic,Black,18.39936129
3000,Electric,1,BMW,Automatic,Gray,3.283004752
1500,Petrol,1,BMW,Manual,Red,16.69235432
3000,Electric,5,Tesla,Manual,Silver,15.06720839
2500,Petrol,5,Tesla,Automatic,White,23.12123811
1800,Petrol,5,Chevrolet,Manual,Red,8.611066762
800,Diesel,2,Hyundai,Automatic,Black,23.24027153
3000,Petrol,1,Tesla,Automatic,Blue,12.06559304
1800,Diesel,5,Tesla,Automatic,White,25.22887449
3000,Diesel,4,Nissan,Manual,Silver,13.91001586
1000,Electric,1,Nissan,Manual,Blue,7.967168207
5000,Electric,3,Chevrolet,Automatic,Gray,16.40960494
3000,Diesel,2,BMW,Automatic,Silver,15.27167419
2500,Diesel,4,BMW,Automatic,Silver,25.64081097
1800,Electric,4,Volkswagen,Manual,White,19.00226572
1200,Electric,5,Volkswagen,Manual,Black,20.49075247
5000,Petrol,1,BMW,Automatic,White,17.8413631
3000,Petrol,5,Chevrolet,Automatic,Silver,27.63169944
1800,Electric,5,Kia,Manual,White,19.60162598
1800,Petrol,3,Honda,Manual,Blue,17.9025645
1200,Petrol,4,Tesla,Manual,Gray,17.20114987
2000,Petrol,2,Volkswagen,Manual,Black,18.77327349
3000,Electric,4,Ford,Manual,Silver,16.54595255
2000,Diesel,4,Ford,Automatic,White,25.59024528
2000,Diesel,2,BMW,Manual,Gray,14.11171425
2500,Electric,5,Nissan,Automatic,Red,17.02367695
2500,Petrol,5,Ford,Automatic,Black,11.43368055
1500,Electric,2,Kia,Automatic,Black,19.41301473
1200,Petrol,1,Ford,Automatic,Silver,22.08618606
4000,Electric,3,Volkswagen,Automatic,Red,19.46497134
1500,Electric,4,BMW,Manual,Red,4.375253142
2000,Electric,5,Chevrolet,Automatic,Red,16.19014497
1800,Electric,3,Ford,Manual,Blue,26.62263016
1500,Electric,3,Hyundai,Automatic,White,19.65484592
1200,Electric,4,Chevrolet,Automatic,Blue,21.65877828
2500,Electric,1,Honda,Automatic,Black,22.77739056
3000,Petrol,1,BMW,Automatic,Silver,15.03538605
3000,Diesel,2,Toyota,Manual,Blue,19.58199237
2500,Diesel,3,Toyota,Manual,Black,17.62318902
5000,Petrol,1,Toyota,Automatic,Blue,19.1990745
800,Diesel,5,Volkswagen,Automatic,Silver,22.14109754
5000,Diesel,2,Honda,Automatic,White,22.99116827
1800,Electric,1,Toyota,Manual,Silver,20.1149111
5000,Petrol,2,Honda,Automatic,Blue,17.86786327
1800,Electric,2,Volkswagen,Manual,Silver,13.38678599
1800,Diesel,3,Volkswagen,Automatic,Red,24.07006941
2500,Petrol,1,Honda,Automatic,Silver,19.5320154
2000,Electric,4,Honda,Automatic,Red,21.25104559
5000,Petrol,5,Tesla,Automatic,Silver,26.18838464
800,Electric,3,Honda,Automatic,Silver,16.21201556
1200,Electric,5,Nissan,Automatic,Gray,28.54911772
3000,Diesel,4,Honda,Manual,Blue,19.02573455
800,Electric,5,Hyundai,Manual,White,16.13683515
2000,Electric,2,Nissan,Manual,Black,20.49278865
4000,Diesel,3,Hyundai,Manual,Silver,15.19075759
3000,Electric,2,Kia,Manual,Blue,16.39662496
4000,Electric,5,Honda,Automatic,White,9.752014623
5000,Petrol,3,Toyota,Manual,Red,17.99513029
2000,Petrol,4,Volkswagen,Automatic,Gray,26.24409563
2000,Electric,2,Chevrolet,Automatic,White,9.274220426
1000,Petrol,4,Ford,Automatic,Blue,18.00959851
4000,Electric,1,BMW,Automatic,White,13.91989984
3000,Petrol,2,Toyota,Automatic,Silver,16.98746199
3000,Petrol,5,Kia,Automatic,Black,10.92126995
2000,Electric,2,Nissan,Automatic,Gray,24.03842778
1000,Electric,1,Kia,Automatic,White,25.76351905
1500,Electric,4,Ford,Automatic,White,16.48462767
1800,Petrol,3,Chevrolet,Manual,Blue,26.41984261
1000,Diesel,3,Kia,Manual,White,11.94091896
5000,Diesel,1,Honda,Manual,Gray,10.20340177
5000,Electric,3,Ford,Manual,Black,16.69601593
5000,Petrol,5,Honda,Automatic,Black,11.25659569
4000,Petrol,5,Nissan,Manual,Blue,13.63868178
4000,Electric,2,Tesla,Automatic,Silver,17.08887897
2000,Diesel,2,Honda,Automatic,Silver,11.97806317
3000,Electric,5,Ford,Automatic,White,18.76114203
1000,Electric,3,Ford,Manual,White,13.93025061
800,Electric,4,Tesla,Automatic,Red,16.59589962
800,Diesel,4,Chevrolet,Automatic,Black,13.15586047
1000,Petrol,3,Hyundai,Automatic,Gray,22.89130455
1500,Electric,3,BMW,Manual,Gray,16.53422314
800,Diesel,3,Honda,Manual,Blue,23.40661325
5000,Petrol,4,Nissan,Manual,White,18.89847368
4000,Diesel,2,Nissan,Automatic,Blue,21.8148511
1800,Electric,1,Tesla,Manual,Gray,26.23619291
2500,Electric,2,Chevrolet,Automatic,Black,18.92591593
1800,Petrol,3,Tesla,Automatic,Black,15.17564162
2000,Electric,5,Honda,Automatic,Red,15.35485076
3000,Electric,2,Chevrolet,Manual,Blue,22.84766898
1200,Electric,3,Tesla,Manual,Gray,27.93574606
1000,Petrol,4,Chevrolet,Automatic,Silver,16.310191
800,Petrol,4,Chevrolet,Automatic,Blue,17.61704665
1000,Diesel,2,Chevrolet,Automatic,Red,21.54290734
2500,Electric,5,Hyundai,Manual,White,21.14690717
1500,Diesel,1,Chevrolet,Automatic,Gray,20.74979073
4000,Petrol,3,Chevrolet,Automatic,Black,12.89792338
2000,Petrol,1,Nissan,Manual,Silver,9.165831321
1500,Electric,5,Chevrolet,Manual,Blue,20.09930656
1200,Diesel,4,Tesla,Manual,Black,9.114172272
5000,Petrol,3,Kia,Manual,Red,19.43485516
4000,Electric,2,Hyundai,Manual,Red,18.66669696
4000,Diesel,4,Hyundai,Automatic,Red,16.46309135
1000,Petrol,5,Honda,Automatic,Red,21.86729069
1800,Petrol,5,Nissan,Automatic,Blue,13.98040845
1200,Petrol,1,Chevrolet,Manual,Red,20.33884329
1000,Electric,5,Hyundai,Automatic,Silver,18.11238718
2000,Electric,5,Volkswagen,Manual,Black,7.03667349
1200,Electric,1,Tesla,Automatic,Black,19.26393182
4000,Electric,4,Hyundai,Manual,Silver,23.0598304
2000,Diesel,2,Honda,Automatic,Red,22.97322258
1000,Petrol,3,Tesla,Automatic,Silver,18.43099434
5000,Petrol,4,Hyundai,Automatic,Black,16.33381977
2500,Electric,4,BMW,Manual,Blue,23.06755809
4000,Electric,5,BMW,Automatic,Black,19.24578179
3000,Diesel,4,Nissan,Automatic,Red,21.69935795
3000,Electric,5,Chevrolet,Automatic,Silver,19.10692456
2000,Petrol,3,Ford,Manual,Blue,21.50839392
2500,Diesel,1,Toyota,Automatic,Black,10.81724392
1500,Electric,2,Nissan,Automatic,Red,19.52413609
2000,Diesel,5,Volkswagen,Automatic,Gray,18.87235733
2000,Diesel,5,Toyota,Manual,Black,17.33581559
1500,Diesel,1,Honda,Manual,Silver,21.9087913
2500,Diesel,1,Chevrolet,Manual,Red,17.22467873
4000,Petrol,1,Chevrolet,Manual,Silver,16.05240198
1200,Electric,4,Kia,Manual,Silver,22.66268232
4000,Electric,4,Volkswagen,Automatic,White,15.91598364
3000,Petrol,2,Hyundai,Automatic,Black,8.033113903
1500,Diesel,2,Tesla,Automatic,Red,16.82232991
1200,Diesel,2,Kia,Manual,Gray,24.0362356
2000,Petrol,5,Tesla,Manual,Black,18.46663269
1200,Diesel,3,Kia,Manual,Silver,19.18258188
800,Electric,4,Chevrolet,Manual,White,15.08908727
5000,Petrol,3,BMW,Manual,White,18.16994506
1800,Diesel,2,Nissan,Automatic,Black,13.37148827
2000,Electric,2,Volkswagen,Manual,White,19.53310485
2500,Petrol,5,Volkswagen,Automatic,Black,11.31172805
4000,Petrol,1,BMW,Manual,White,14.16420741
1800,Petrol,3,Chevrolet,Automatic,Red,17.78774753
800,Diesel,5,Kia,Automatic,Silver,30.16647196
800,Electric,5,Ford,Automatic,Gray,20.40616373
3000,Diesel,4,Toyota,Automatic,Gray,17.0881277
800,Petrol,5,Chevrolet,Manual,Silver,15.53566457
1500,Electric,1,Honda,Automatic,White,10.64511901
2000,Diesel,5,BMW,Manual,Red,19.79878463
3000,Diesel,1,Kia,Manual,Blue,18.76662357
1200,Electric,4,Tesla,Automatic,Silver,16.71094887
1800,Diesel,4,Kia,Manual,Gray,19.72705723
1000,Diesel,1,BMW,Manual,Silver,12.66045581
3000,Petrol,2,Kia,Manual,Black,18.49235197
3000,Diesel,5,Hyundai,Manual,Gray,19.85649469
